from_str|to_char|rel_frequency
in|Ã|1.0240835806523548e-05
 w|h|0.29427828639936054
 w|e|0.22606186060789055
 w|a|0.21375961882553837
 w|i|0.145206753183064
 w|o|0.10596467361665601
 w|r|0.014063961827235027
 w| |0.00021983257453618945
 w|u|0.00018090544405993504
 w|y|0.0001808805704941355
 w|g|1.1814943754773704e-05
 w|Î|7.437196174057552e-06
 w|l|2.0620186047805053e-05
 w|c|4.2533797517185335e-06
 w|w|1.2113426544367986e-05
 w|n|4.0792647911218685e-06
 w|t|1.0720506859594666e-05
 w|m|3.7061613041290146e-06
 w|p|2.9848278959428305e-06
 w|s|2.7609658037471183e-06
 w|Ã|2.7360922379475944e-06
wh|a|0.4624166322253766
wh|o|0.1504539983204216
wh|y|0.11222038950380553
wh|e|0.21186643624827978
wh|i|0.06263646989380241
wh| |0.00028728974868663095
wh|u|5.071772217495854e-05
wh|Î|3.0048797753412426e-05
wh|r|1.4775375690904454e-05
wh|l|2.3242164008164307e-05
we| |0.508895144017702
we|l|0.17741518577412743
we|r|0.14916883061752775
we|n|0.028376807641608062
we|e|0.05146776975582222
we|d|0.022225769444325718
we|i|0.010515769001407549
we|a|0.03370742957916086
we|s|0.010198845059373811
we|v|0.0029785035432968988
we|t|0.0021643869949533497
we|b|0.001847850727466441
we|p|0.0004046353082540854
we|y|0.00027602427734314616
we|g|0.0002087627434680958
we|x|4.274111878803632e-05
we|h|4.371030515511198e-05
we|m|2.636186918445778e-05
we|j|2.3551228719938383e-05
we|Ã|1.192099231503054e-05
 m|e|0.2920909747518035
 m|y|0.16243219748397575
 m|a|0.22853099102290048
 m|o|0.14806797378446793
 m|u|0.06334612618855898
 m|i|0.09231333424962017
 m|r|0.005697064945041428
 m| |0.0017434564470176965
 m|m|0.003215357834462605
 m|s|0.0002628706906991837
 m|c|0.001723748084779426
 m|w|9.493323782378122e-05
 m|p|0.00010425208113563946
 m|t|6.0116453024583265e-05
 m|d|3.4499547580070875e-05
 m|b|2.676689036384809e-05
 m|g|3.92581058669772e-05
 m|l|4.3739081587147326e-05
 m|Ã|4.615801538299138e-05
 m|j|1.5980824913527084e-05
 m|n|2.577552405407594e-05
 m|v|3.124786608401822e-05
 m|h|2.7203091540147838e-05
 m|k|2.0263527371742778e-05
 m|Î|5.710269944287593e-06
me| |0.6236364639292502
me|t|0.06555401238758811
